Apps,Platform,Category,# Actions,# Activities,# Screens,Content labeling,Implementation,Touch target size,Low contrast,Unnecessary text,Not readable,Items have the same description,Items share same location,Text Scaling,APK Name,Language,Considered
SAP ByD Mobile,Ionic,BUSINESS,3,1,1,null,null,null,null,null,null,null,null,null,3F24EDDF3D010029B38AA0EF639D0D905D687AA664DEC63D985180C4AB4DFF93,ptbr,no
Kings of Israel,Ionic,BOOKS_AND_REFERENCE,13,1,9,0,0,0,0,false,false,false,false,false,1A3EBF19B708C909DE994C43E4704B0A68270FED7A5E31659ECB4629C12805E7,ptbr,yes
Confectionery,Ionic,BOOKS_AND_REFERENCE,62,1,22,0,0,0,0,false,false,false,false,false,2D638BDF1EEE4A560C52A65CD7B0CF17B75E9A5821301609B19609355990F4B1,ptbr,yes
Programming languages,Ionic,BOOKS_AND_REFERENCE,39,2,22,0,0,0,0,false,false,false,false,false,0DF407D8FA1789EACA18BF03AD361007236665FBCA5E70DD275336F14EA7122E,ptbr,yes
Hydrology,Ionic,BOOKS_AND_REFERENCE,107,2,23,0,4,0,1,false,false,false,false,true,1B220ABC9FA81434B9D6D627AE5728ECF5031C99537528452AA6C16CF438F8D9,ptbr,yes
Hygiene,Ionic,BOOKS_AND_REFERENCE,70,1,24,0,0,0,0,false,false,false,false,false,2D0143A2D430CA19E9792C009C9E2395A6EB6F1CFE1DBBD563790A92AB3E4F53,ptbr,yes
Material properties,Ionic,BOOKS_AND_REFERENCE,79,1,25,0,0,0,0,false,false,false,false,false,2B27FB17B89AEAA46638E271B172DB991E03AA5E05F1DC68724F8E2EE92B9818,ptbr,yes
Architectural Styles,Ionic,BOOKS_AND_REFERENCE,71,1,26,0,0,0,0,false,false,false,false,false,2C098AD9B9E7C0E35A0B9E389746F955919030DDF73248A00DF4EDB4F20A2164,ptbr,yes
Catholic archbishops,Ionic,BOOKS_AND_REFERENCE,66,1,26,0,0,0,0,false,false,false,false,false,2B73ACD6FD2DF35F786CC3909FABB9DAFDF255A0300543231068EACFE498BBAE,ptbr,yes
Genetics,Ionic,BOOKS_AND_REFERENCE,66,1,26,0,0,0,0,false,false,false,false,false,2E4D99BC90A06A631EEB916DC1C3BACF7E3C446B1EDA5EBD5BA8A91480006650,ptbr,yes
Physical Quantities,Ionic,BOOKS_AND_REFERENCE,55,1,27,0,0,0,0,false,false,false,false,false,2D8EFB0C8DE095C6F6DCF61CD87181E455C5059C5F37B623FA2DF433B3CB51B7,ptbr,yes
Quantum mechanics,Ionic,BOOKS_AND_REFERENCE,59,2,28,0,0,2,2,false,false,false,false,false,0B68BF6D339266B5659DE6F6F9EB4DE2C4368E0B8D609915D346CBE142D835EF,ptbr,yes
SRCM,React Native,LIFESTYLE,46,5,30,4,4,2,0,false,false,true,false,true,2CC2848C5C584A5E801EF9AE44BE9233C25BE9AD417E400856717199B4637B95,ptbr,yes
The kings of Armenia,Ionic,BOOKS_AND_REFERENCE,100,2,32,0,0,0,0,false,false,false,false,false,1B473D2BBB712FC991260B15D2B8ED05C3774AC397CBB8B6B5A014148BB52710,ptbr,yes
Plant physiology,Ionic,BOOKS_AND_REFERENCE,109,1,34,0,0,0,0,false,false,false,false,false,1E0A7032FDDCEC545981A4DB527E08278D6319D2F79C1E205591B73BA010E494,ptbr,yes
Hydraulics,Ionic,BOOKS_AND_REFERENCE,107,1,34,0,0,0,0,false,false,false,false,false,1BAE42CE2224E1CDD6813FEF5E3DE7FD5DBB91AD24FED69B428F1CCFD35C2FCB,ptbr,yes
Immune System,Ionic,BOOKS_AND_REFERENCE,115,2,34,0,0,0,0,false,false,false,false,false,0CAD275A4448EA60BD3CBB1C621E17D4ECFB2FA21A3761579A1AD5C97A662C99,ptbr,yes
SRCM,React Native,LIFESTYLE,63,6,34,3,1,3,1,false,false,false,false,true,2CC2848C5C584A5E801EF9AE44BE9233C25BE9AD417E400856717199B4637B95,ptbr,yes
Linguistics,Ionic,BOOKS_AND_REFERENCE,102,2,35,0,3,0,0,false,false,false,false,true,0C67BCB6AC8F9F4FFCE18982A2D8C1A03C6FF7F6B42EC755F16E21AB1C5958DF,ptbr,yes
Psychological concepts,Ionic,BOOKS_AND_REFERENCE,85,2,35,0,0,0,0,false,false,false,false,false,1C88480D21B2CD05D1DAB8E0CB02F749E6A5870B8557351B41AF8F6D10C78F34,ptbr,yes
ICCM,React Native,LIFESTYLE,52,7,35,3,0,2,1,false,false,true,false,true,2D3A47BFB00A4A83846DA3CF6CC8C223019B2A28F9CFA03E4023C2C850972002,ptbr,yes
True Life,React Native,EDUCATION,73,2,36,1,0,1,0,false,false,true,false,true,2C961A5E8064B3E52FF9AED2D6285ABB159D64EE74C3BF28BB92FCF85CF0B283,ptbr,yes
King of Sparta,Ionic,BOOKS_AND_REFERENCE,101,1,37,0,0,2,2,false,false,false,false,false,1D05EEAA2154D9315D450248F5CF144A46352600E7B31579C0AE29541641E264,ptbr,yes
Oils,Ionic,BOOKS_AND_REFERENCE,128,2,37,0,0,0,0,false,false,false,false,false,4A9409965699AAE321B62CCD912B8FE8F373BD3F59987362B4FA5617FFB50993,ptbr,yes
Ethnology,Ionic,BOOKS_AND_REFERENCE,125,2,38,0,4,0,1,false,false,false,false,true,4ADF29E9893A2C416C0BA0D8AA74BAB4A42A13C2CAD65A590756BCC0D6D97DC2,ptbr,yes
Philosophical terms,Ionic,BOOKS_AND_REFERENCE,124,1,39,0,0,0,0,false,false,false,false,false,1E1991813A840DB7CDBA83ADFA853B3AB7FF52CD263AD54D92EBB73B88BC8D0E,ptbr,yes
Locomotives,Ionic,BOOKS_AND_REFERENCE,92,1,40,0,0,0,0,false,false,false,false,false,3FA394F1BA88977F3E059E3EE8537A3D82723556907B650DB641FB45C55EE06A,ptbr,yes
Philosophers,Ionic,BOOKS_AND_REFERENCE,142,1,40,0,0,0,0,false,false,false,false,false,4B38B96225A9B7E8EDD79896321BA185BCA4426F6ED167B20134FBEAC44A26ED,ptbr,yes
Anatomy of arthropods,Ionic,BOOKS_AND_REFERENCE,124,2,41,0,0,1,0,false,false,false,false,false,1B898D8F6000A79AD19397D02365AE8597DF69AE87D64230B5CAD3180E459ED0,ptbr,yes
AB Brasil,React Native,EDUCATION,78,7,44,3,1,2,1,false,false,true,false,true,2C869D248B7CAE4799F29910D787E743B2B464B1E30487B2D86F3131BCBC5D5D,ptbr,yes
Shotguns,Ionic,BOOKS_AND_REFERENCE,105,2,48,0,0,0,0,false,false,false,false,false,0BF56EA287982123599FD892DBA91D72DB438A9BBEF8E8D43FEABA43A3B156B4,ptbr,yes
True Life,React Native,EDUCATION,160,5,48,3,1,3,0,false,false,true,false,true,2C961A5E8064B3E52FF9AED2D6285ABB159D64EE74C3BF28BB92FCF85CF0B283,ptbr,yes
The Mesozoic,Ionic,BOOKS_AND_REFERENCE,112,1,49,0,0,0,0,false,false,false,false,false,1A35A4ED071DDAEF1A6E250540F19BB380B21AF97BB30887EC73A34694D184FC,ptbr,yes
AB Brasil,React Native,EDUCATION,95,8,49,3,1,7,1,false,false,false,false,true,2C869D248B7CAE4799F29910D787E743B2B464B1E30487B2D86F3131BCBC5D5D,ptbr,yes
